Customer ID,Title,First Name,Middle Name,Last Name,Suffix,Street Address1,Street Address2,City-ZipCode-State,Birth Date,Gender,Marital Status,Home Owner Status,Number of Cars Owned,Number of Children At Home,Total Number of Children,Annual Income,Avg Monthly Spend,eBook Subscriber Flag,Occupation_Management,Occupation_Manual,Occupation_Professional,Occupation_Skilled Manual,Education Level_Graduate Degree,Education Level_High School,Education Level_Partial College,Education Level_Partial High School
11000,,Jon,V,Yang,,3761 N. 14th St,,Cleveland-44101-Ohio,4/8/66,M,M,1,0,0,2,1.6840709114064019,1.0221602986132219,0,False,False,True,False,False,False,False,False
11001,,Eugene,L,Huang,,2243 W St.,,Seattle-98101-Washington,5/14/65,M,S,0,1,3,3,0.7037171325962196,2.387131259104143,1,False,False,True,False,False,False,False,False
11002,,Ruben,,Torres,,5844 Linden Land,,Omaha-68101-Nebraska,8/12/65,M,M,1,1,3,3,0.4587751842742494,2.679625036352198,0,False,False,True,False,False,False,False,False
11003,,Christy,,Zhu,,1825 Village Pl.,,Fort Worth-76101-Texas,2/15/68,F,S,0,1,0,0,0.31875128014978255,-0.8790492534991328,0,False,False,True,False,False,False,False,False
11004,,Elizabeth,,Johnson,,7553 Harness Circle,,Oakland-94601-California,8/8/68,F,S,1,4,5,5,0.4807762770661097,1.3146540758612766,1,False,False,True,False,False,False,False,False
11005,,Julio,,Ruiz,,7305 Humphrey Drive,,Corpus Christi-78401-Texas,8/5/65,M,S,1,1,0,0,0.7585334146369563,0.48592170699178855,1,False,False,True,False,False,False,False,False
11006,,Janet,G,Alvarez,,2612 Berry Dr,,Chula Vista-91910-California,12/6/65,F,S,1,1,0,0,0.2672910970094991,-0.6840534020004297,1,False,False,True,False,False,False,False,False
11007,,Marco,,Mehta,,942 Brook Street,,Anaheim-92801-California,5/9/64,M,M,1,2,3,3,0.9332636431049994,3.0208677764749283,1,False,False,True,False,False,False,False,False
11008,,Rob,,Verhoff,,624 Peabody Road,,Sacramento-94203-California,7/7/64,F,S,1,3,4,4,0.3538305043711869,0.8271644471145189,1,False,False,True,False,False,False,False,False
11009,,Shannon,C,Carlson,,3839 Northgate Road,,Chula Vista-91910-California,4/1/64,M,S,0,1,0,0,0.8437676724262456,0.29092585549308553,0,False,False,True,False,False,False,False,False
11010,,Jacquelyn,C,Suarez,,7800 Corrinne Court,,Corpus Christi-78401-Texas,2/6/64,F,S,0,1,0,0,0.1750782843637117,-0.9277982163738085,0,False,False,True,False,False,False,False,False
11012,,Lauren,M,Walker,,4785 Scott Street,,Long Beach-90801-California,1/18/68,F,M,1,2,0,2,0.6532158348560657,-0.635304439125754,1,True,False,False,False,False,False,False,False
11013,,Ian,M,Jenkins,,7902 Hudson Ave.,,Atlanta-30301-Georgia,8/6/68,M,M,1,3,0,2,1.0957414470158322,0.7784154842398432,0,True,False,False,False,False,False,False,False
11014,,Sydney,,Bennett,,9011 Tank Drive,,Oakland-94601-California,5/9/68,F,S,0,3,0,3,0.8106861261217777,-0.9277982163738085,0,True,False,False,False,False,False,False,False
11015,,Chloe,,Young,,244 Willow Pass Road,,Toledo-43601-Ohio,2/27/79,F,S,0,1,0,0,-0.9245235482347981,-1.4152878451205662,0,False,False,False,True,False,False,True,False
11016,,Wyatt,L,Hill,,9666 Northridge Ct.,,Boston-2101-Massachusetts,4/28/79,M,M,1,1,0,0,-0.7434806575492358,-0.0015679217549690598,0,False,False,False,True,False,False,True,False
11019,,Luke,L,Lal,,7832 Landing Dr,,Detroit-48201-Michigan,3/7/78,M,S,0,2,0,0,-0.672975944934158,-0.1965637732536721,1,False,False,False,True,False,True,False,False
11020,,Jordan,C,King,,7156 Rose Dr.,,Mesa-85201-Arizona,9/20/78,M,S,0,2,0,0,-0.822082624654296,-0.1965637732536721,0,False,False,False,True,False,True,False,False
11023,,Seth,M,Edwards,,4499 Valley Crest,,Bakersfield-93301-California,10/11/78,M,M,1,1,0,0,-0.6572342429486986,0.14467896686905823,0,False,False,False,True,False,False,True,False
11024,,Russell,,Xie,,8734 Oxford Place,,Oakland-94601-California,9/17/78,M,M,1,2,0,0,0.4409558972551761,0.4371727441171128,0,False,False,False,True,False,False,True,False
11025,,Alejandro,,Beck,,2596 Franklin Canyon Road,,Louisville-40201-Kentucky,12/23/45,M,M,1,2,1,2,-1.3420915042856383,0.09593000399438247,0,False,False,False,False,False,False,False,True
11026,,Harold,,Sai,,8211 Leeds Ct.,,Washington-20001-DC,4/3/46,M,S,0,2,0,2,-0.34136141072270415,-0.24531273612834786,0,False,False,False,False,False,False,True,False
11027,,Jessie,R,Zhao,,213 Valencia Place,,Charlotte-28201-North Carolina,12/7/46,M,M,1,2,0,2,-0.6757993297234282,0.38842378124243704,0,False,False,False,False,False,False,True,False
11028,,Jill,,Jimenez,,9111 Rose Ann Ave,,El Paso-79901-Texas,4/11/46,F,M,1,2,0,2,-0.8164624907813147,-1.220291993621863,0,False,False,False,False,False,False,True,False
11031,,Theresa,G,Ramos,,6465 Detroit Ave.,,Chicago-60601-Illinois,8/22/47,F,M,1,2,0,4,-1.488348163510947,-1.220291993621863,0,False,False,False,True,False,True,False,False
11032,,Denise,,Stone,,626 Bentley Street,,Baltimore-21201-Maryland,6/11/47,F,M,1,2,0,4,-1.567775837488341,-1.2690409564965388,0,False,False,False,True,False,True,False,False
11033,,Jaime,,Nath,,5927 Rainbow Dr,,Los Angeles-90001-California,9/23/47,M,M,1,2,0,4,-1.0361005188220898,-0.48905755050172667,0,False,False,False,True,False,True,False,False
